# nb[1/fm^3],EcenN2LO[MeV/fm^3],EsigmaN2LO[MeV/fm^3],PcenN2LO[MeV/fm^3],PsigmaN2LO[MeV/fm^3],EcenN3LO[MeV/fm^3],EsigmaN3LO[MeV/fm^3],PcenN3LO[MeV/fm^3],PsigmaN3LO[MeV/fm^3]
0.13	123.8	0.10000000000000853	1.501	0.31800000000000006	123.7	0.	1.403	0.18199999999999994
0.135	128.6	0.09999999999999432	1.671	0.35899999999999976	128.5	0.09999999999999432	1.566	0.20799999999999996
0.14	133.4	0.19999999999998863	1.856	0.4029999999999998	133.3	0.09999999999999432	1.744	0.236
0.145	138.2	0.20000000000001705	2.055	0.44999999999999973	138.1	0.09999999999999432	1.936	0.266
0.15	143.1	0.20000000000001705	2.269	0.5009999999999999	143.	0.09999999999999432	2.141	0.2999999999999998
0.155	147.9	0.29999999999998295	2.499	0.556	147.8	0.09999999999999432	2.361	0.33599999999999985
0.16	152.8	0.29999999999998295	2.746	0.6160000000000001	152.7	0.10000000000002274	2.596	0.375
0.165	157.6	0.4000000000000057	3.012	0.6789999999999998	157.5	0.19999999999998863	2.847	0.4169999999999998
0.17	162.5	0.4000000000000057	3.296	0.7479999999999998	162.4	0.19999999999998863	3.114	0.4620000000000002
0.175	167.4	0.4000000000000057	3.601	0.8200000000000003	167.2	0.30000000000001137	3.397	0.512
0.18	172.3	0.39999999999997726	3.926	0.8979999999999997	172.1	0.30000000000001137	3.697	0.5649999999999995
0.185	177.2	0.4000000000000057	4.272	0.9809999999999999	177.	0.30000000000001137	4.015	0.6210000000000004
0.19	182.1	0.5	4.64	1.069	181.9	0.29999999999998295	4.349	0.6829999999999998
0.195	187.	0.5	5.03	1.162	186.8	0.29999999999998295	4.701	0.7480000000000002
0.2	191.9	0.5999999999999943	5.442	1.2610000000000001	191.7	0.4000000000000057	5.07	0.8179999999999996
0.205	196.9	0.5999999999999943	5.877	1.3650000000000002	196.7	0.30000000000001137	5.456	0.8919999999999995
0.21	201.8	0.6999999999999886	6.335	1.476	201.6	0.4000000000000057	5.859	0.9720000000000004
0.215	206.8	0.6999999999999886	6.815	1.592999999999999	206.5	0.5	6.28	1.056
0.22	211.8	0.799999999999983	7.319	1.7160000000000002	211.5	0.4000000000000057	6.717	1.1460000000000008
0.225	216.8	0.799999999999983	7.845	1.8470000000000004	216.5	0.4000000000000057	7.171	1.242
0.23	221.8	0.8999999999999773	8.395	1.9850000000000012	221.4	0.5999999999999943	7.642	1.342999999999999
0.235	226.8	0.8999999999999773	8.967	2.132999999999999	226.4	0.5999999999999943	8.128	1.4510000000000005
0.24	231.8	1.	9.562	2.2780000000000005	231.4	0.5999999999999943	8.63	1.5599999999999987
0.245	236.8	1.0999999999999943	10.18	2.4399999999999995	236.4	0.6999999999999886	9.147	1.6829999999999998
0.25	241.9	1.0999999999999943	10.82	2.6099999999999994	241.4	0.799999999999983	9.678	1.8119999999999994
0.255	246.9	1.299999999999983	11.48	2.789999999999999	246.5	0.6999999999999886	10.22	1.9499999999999993
0.26	252.	1.3000000000000114	12.17	2.9700000000000006	251.5	0.8000000000000114	10.78	2.09
0.265	257.1	1.3999999999999773	12.87	3.17	256.5	0.8999999999999773	11.35	2.25
0.27	262.2	1.5	13.6	3.369999999999999	261.6	1.	11.94	2.4000000000000004
0.275	267.3	1.599999999999966	14.35	3.58	266.7	1.	12.53	2.5700000000000003
0.28	272.4	1.7000000000000455	15.11	3.8100000000000023	271.8	1.	13.14	2.74
0.285	277.6	1.7999999999999545	15.9	4.040000000000001	276.8	1.1999999999999886	13.75	2.9299999999999997
0.29	282.7	1.900000000000034	16.7	4.289999999999999	282.	1.1999999999999886	14.37	3.130000000000001
0.295	287.9	2.	17.52	4.550000000000001	287.1	1.2999999999999545	15.	3.3299999999999983
0.3	293.1	2.099999999999966	18.36	4.82	292.2	1.400000000000034	15.63	3.549999999999999
